event_id,broadcast_type,broadcast_date,tv_station_network,tv_rating
208525,Live,2018-09-10,YouTube.com,
315149,Live,2021-06-17,Wrestle Universe,
83330,Taped,2001-04-21,Televisa Deportes,
152103,Live,2016-07-18,TV Asahi,
11323,Taped,2007-05-17,Spike TV,1.0
341959,Live,2022-07-29,FITE TV,
293787,Taped,1960-10-08,,
1754,Live,1987-11-26,,
337299,Live,2022-02-27,Wrestle Universe,
84846,Taped,2012-09-01,52MX,
18717,Live,1991-10-28,MSG Network,
265729,Live,2020-05-13,TNT,
107218,Taped,2014-02-15,lokale TV Sender (USA),
317500,Live,2021-07-11,Abema TV / Wrestle Universe,
97753,Taped,2013-08-07,Samurai! TV,
246906,Live,2020-01-15,TNT,
127741,Taped,1967-12-23,,
250237,Live,2019-12-17,AJPW.tv,
360770,Live,2023-03-05,NJPWWorld.com,
111345,Taped,2014-05-20,WWE Network,
34970,Taped,1992-06-14,Televisa Deportes,
271740,Taped,1989-02-27,,
86808,Taped,1981-10-02,TV Asahi,
341975,Live,2022-04-29,YouTube.com,
266918,Taped,,,
339456,Taped,2022-08-26,Demand-PROGRESS.com,
74488,Taped,2012-01-22,Samurai! TV,
9212,Taped,2003-01-25,lokale TV Sender (USA),
248090,Taped,2019-11-28,Hulu,
41852,Taped,1987-07-06,USA Network,
83285,Taped,2001-03-31,Televisa Deportes,
311519,Live,2022-04-13,TBS,
15733,Taped,1995-12-02,lokale TV Sender (USA),
215743,Live,2018-11-19,USA Network,
201207,Live,2018-06-25,YouTube.com,
150572,Taped,2016-05-12,nicovideo.jp,
168692,Live,2017-01-29,WWE Network,
90555,Live,2013-01-21,USA Network,3.0
296437,Live,2020-11-12,Wrestle Universe,
6055,,,,
28192,Live,,PRISM Network,
283672,Live,2020-08-02,Wrestle Universe,
64342,Taped,1991-11-10,Televisa Deportes,
283464,Taped,2020-08-04,YouTube.com,
152079,Live,2016-05-21,TV Asahi 2,
154805,Live,2016-06-26,Samurai! TV,
73762,Taped,2011-12-24,52MX,
67457,Taped,,Gaora TV,
2465,Live,2003-09-15,Spike TV,3.7
178212,Taped,1983-10-30,,
60532,Taped,1994-11-29,lokale TV Sender (USA),
